ProductReference;SupplierName;DateOfIncident;IssueDescription;ResolutionStatus;CostImpact (€)
PRD08586;SupplierC;2023-10-25;Other;Resolved;69.0
PRD06004;SupplierA;2024-03-07;Packaging Damage;Resolved;1912.0
PRD04841;SupplierC;2023-01-19;Missing Items;Resolved;379.0
PRD02036;SupplierC;2024-05-28;Other;In Progress;327.0
PRD02537;SupplierE;2023-08-11;Incorrect Folding;Not Resolved;560.0
PRD07198;SupplierB;2023-05-16;Other;Resolved;71.0
PRD02419;SupplierF;2024-01-24;Labeling Error;Not Resolved;420.0
PRD02815;SupplierA;2024-06-03;Other;In Progress;260.0
PRD01628;SupplierC;2024-02-24;Other;Resolved;323.0
PRD07831;SupplierD;2024-05-10;Other;Resolved;140.0
PRD00820;SupplierA;2024-01-25;Missing Items;Resolved;1016.0
PRD00102;SupplierB;2023-08-02;Other;Resolved;372.0
PRD09206;SupplierC;2023-07-17;Labeling Error;Resolved;486.0
PRD08588;SupplierA;2023-04-25;Packaging Damage;Resolved;1418.75
PRD01858;SupplierF;2024-04-30;Missing Items;In Progress;331.0
PRD06284;SupplierD;2023-10-25;Packaging Damage;Resolved;1327.0
PRD02336;SupplierB;2023-09-05;Other;Resolved;355.0
PRD05919;SupplierF;2024-05-01;Other;Resolved;156.0
PRD04034;SupplierC;2023-06-27;Other;Resolved;73.0
PRD08657;SupplierF;2024-01-25;Other;In Progress;350.0
PRD04526;SupplierB;2023-06-18;Packaging Damage;Resolved;1434.0
PRD01582;SupplierA;2023-10-20;Packaging Damage;Not Resolved;562.0
PRD00071;SupplierB;2024-05-25;Labeling Error;Resolved;381.0
PRD05533;SupplierB;2024-04-12;Packaging Damage;Resolved;1616.25
PRD07982;SupplierC;2023-11-24;Missing Items;Resolved;1176.0
PRD09224;SupplierB;2023-12-29;Other;Resolved;104.0
PRD04096;SupplierF;2023-01-22;Incorrect Folding;In Progress;286.25
PRD06042;SupplierA;2023-10-07;Incorrect Folding;Not Resolved;717.5
PRD05159;SupplierC;2024-02-29;Other;In Progress;181.0
PRD04824;SupplierE;2023-02-25;Other;Resolved;136.0
PRD09797;SupplierA;2023-08-28;Incorrect Folding;Resolved;552.5
PRD01736;SupplierC;2023-04-15;Incorrect Folding;Resolved;605.0
PRD04413;SupplierB;2024-02-22;Packaging Damage;Resolved;1564.0
PRD02564;SupplierD;2023-03-11;Incorrect Folding;In Progress;403.75
PRD05901;SupplierD;2024-05-12;Packaging Damage;Resolved;1300.0
PRD00801;SupplierB;2023-04-17;Packaging Damage;Not Resolved;914.0
PRD09986;SupplierB;2023-04-18;Incorrect Folding;Resolved;707.5
PRD05251;SupplierE;2024-03-25;Packaging Damage;Resolved;576.0
PRD03518;SupplierH;2023-01-27;Incorrect Folding;Not Resolved;502.5
PRD07098;SupplierE;2023-03-02;Labeling Error;Resolved;496.0
