ProductReference;ProductName;GarmentType;Material;Size;Collection;Weight
PRD00001;Jacket Cotton L;Jacket;Cotton;L;Summer;0.84
PRD00002;Shorts Cotton S;Shorts;Cotton;S;Summer;0.35
PRD00003;Sweater Cotton M;Sweater;Cotton;M;Spring;0.85
PRD00004;Skirt Polyester L;Skirt;Polyester;L;Winter;0.25
PRD00005;Shirt Polyester M;Shirt;Polyester;M;Spring;0.16
PRD00006;Shirt Silk L;Shirt;Silk;L;Summer;0.16
PRD00007;Shirt Cotton XL;Shirt;Cotton;XL;Winter;0.22
PRD00008;T-Shirt Polyester S;T-Shirt;Polyester;S;Spring;0.13
PRD00009;Skirt Linen L;Skirt;Linen;L;Summer;0.23
PRD00010;Coat Linen S;Coat;Linen;S;Summer;1.51
PRD00011;Shirt Silk M;Shirt;Silk;M;Summer;0.15
PRD00012;Shorts Wool XS;Shorts;Wool;XS;Summer;0.33
PRD00013;T-Shirt Silk S;T-Shirt;Silk;S;Summer;0.1
PRD00014;Pants Cotton M;Pants;Cotton;M;Winter;0.42
PRD00015;Shirt Polyester M;Shirt;Polyester;M;Summer;0.12
PRD00016;Shirt Cotton L;Shirt;Cotton;L;Spring;0.2
PRD00017;Pants Cotton L;Pants;Cotton;L;Summer;0.37
PRD00018;Dress Cotton XL;Dress;Cotton;XL;Winter;0.46
PRD00019;Jacket Cotton M;Jacket;Cotton;M;Summer;0.76
PRD00020;Pants Cotton S;Pants;Cotton;S;Spring;0.34
PRD00021;Suit Cotton M;Suit;Cotton;M;Spring;1.11
PRD00022;Shirt Cotton M;Shirt;Cotton;M;Autumn;0.16
PRD00023;Pants Silk M;Pants;Silk;M;Summer;0.28
PRD00024;Jacket Cotton L;Jacket;Cotton;L;Summer;0.73
PRD00025;Dress Wool M;Dress;Wool;M;Autumn;0.72
PRD00026;T-Shirt Cotton M;T-Shirt;Cotton;M;Autumn;0.15
PRD00027;Shirt Silk S;Shirt;Silk;S;Summer;0.11
PRD00028;Dress Silk XS;Dress;Silk;XS;Winter;0.37
PRD00029;Skirt Wool S;Skirt;Wool;S;Summer;0.32
PRD00030;Shirt Wool S;Shirt;Wool;S;Winter;0.26
PRD00031;Skirt Cotton L;Skirt;Cotton;L;Summer;0.32
PRD00032;Shirt Denim S;Shirt;Denim;S;Summer;0.3
PRD00033;Shirt Silk L;Shirt;Silk;L;Winter;0.14
PRD00034;Shorts Silk M;Shorts;Silk;M;Summer;0.23
PRD00035;Shorts Wool S;Shorts;Wool;S;Winter;0.36
PRD00036;T-Shirt Cotton L;T-Shirt;Cotton;L;Summer;0.14
PRD00037;Pants Silk M;Pants;Silk;M;Summer;0.31
PRD00038;Shirt Cotton S;Shirt;Cotton;S;Summer;0.18
